question_1,question_2,cosine_similarity
洗濯だけする方法を教えて？,コースが表示されないのですが,0.6748245735290618
乾燥だけで使用出来ますか？,洗濯時間は何分ですか？,0.6748148548389498
コースが表示されないのですが,予約機能の使い方をおしえて？,0.6745284176090973
乾燥だけで使用出来ますか？,羽毛布団は洗えますか？,0.6735794489761884
一時停止中にドアは開きますか？,異音がします。どうしたらよいですか？,0.6729644173779907
乾燥だけで使用出来ますか？,お急ぎコースはありますか？,0.6724209795865264
一時停止中にドアは開きますか？,洗濯ネットは必要ですか？,0.6706388941316153
乾燥だけで使用出来ますか？,ナノイーXとは何ですか？,0.670393873543734
洗濯だけする方法を教えて？,深夜に運転しても大丈夫？,0.6700445735181861
乾燥だけで使用出来ますか？,コースが表示されないのですが,0.6689256262098753
脱水時間の変更は可能ですか？,水漏れしています。どうしたらよいですか？,0.6687806094824704
ふんわりキープとは何ですか？,ドラムが動きません,0.6674840809137994
ふんわりキープとは何ですか？,お急ぎコースはありますか？,0.6665772114259723
洗濯をスタートする方法を教えて？,ふんわりキープとは何ですか？,0.665860699315769
ドアが開かないのですが,ドアが完全に閉まりません,0.6655665603025475
羽毛布団は洗えますか？,洗剤の種類によって設定は変わりますか？,0.6654065740895272
チャイルドロックの設定をしたい,「洗い」だけ行いたいのですが,0.6651075118731551
洗濯物に白い粉が残っています。　どうしたらよいですか？,「水が出ない」エラーが出ます,0.6649644512820356
一時停止中にドアは開きますか？,ドラムが動きません,0.664949663613037
ふんわりキープとは何ですか？,コースが表示されないのですが,0.6648956919644675
洗濯だけする方法を教えて？,すすぎの設定を変更することは可能ですか？,0.6647873005388575
ふんわりキープとは何ですか？,洗剤の種類によって設定は変わりますか？,0.6644305445613512
「洗い」だけ行いたいのですが,すすぎの設定を変更することは可能ですか？,0.663638781286884
外出先から洗濯を開始できますか？,予約機能の使い方をおしえて？,0.6633979890965402
おしゃれ着コースはありますか？,洗濯時間は何分ですか？,0.6629428635854069
ふんわりキープとは何ですか？,運転終了時にアラームを鳴らさないようにできますか？,0.6617690687899302
ナノイーXとは何ですか？,ふんわりキープとは何ですか？,0.661253474530004
自動投入機能の使い方を教えて？,毛布は洗えますか？,0.6610902433993958
乾燥だけで使用出来ますか？,すすぎの設定を変更することは可能ですか？,0.6610802886047186
手動で個別に設定する事は可能ですか？,洗濯時間は何分ですか？,0.6606708790247302
本体がぐらつきます。どうしたら良いですか？,「排水できない」エラーが出ます,0.6598525038792151
手動で個別に設定する事は可能ですか？,すすぎの設定を変更することは可能ですか？,0.6591212736176287
脱水時間の変更は可能ですか？,「排水できない」エラーが出ます,0.6581740777409733
乾燥だけで使用出来ますか？,自動投入機能の使い方を教えて？,0.6581193267888799
コースが表示されないのですが,ドラムが動きません,0.6576646407481856
お急ぎコースはありますか？,コースが表示されないのですが,0.6574625935475518
脱水時間の変更は可能ですか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.6574141608793618
靴は洗えますか？,本体がぐらつきます。どうしたら良いですか？,0.6568725736497811
自動投入機能の使い方を教えて？,コースが表示されないのですが,0.6558410385365303
羽毛布団は洗えますか？,おしゃれ着コースはありますか？,0.6547892718613758
洗濯物に白い粉が残っています。　どうしたらよいですか？,「排水できない」エラーが出ます,0.654664000746582
乾燥だけで使用出来ますか？,深夜に運転しても大丈夫？,0.6544116974823634
ジェット乾燥とは何ですか？,ドラムが動きません,0.6541466074873924
乾燥だけで使用出来ますか？,おしゃれ着コースはありますか？,0.6536750016816172
ドアが開かないのですが,コースが表示されないのですが,0.6533356278512124
2度洗いは出来ますか？,「洗い」だけ行いたいのですが,0.6530844691888456
ドアが開かないのですが,羽毛布団は洗えますか？,0.6525083305972502
外出先から洗濯を開始できますか？,お急ぎコースはありますか？,0.6519440385083324
乾燥だけで使用出来ますか？,ドアが開かないのですが,0.6519323489115576
乾燥だけで使用出来ますか？,靴は洗えますか？,0.6512016824639941
ジェット乾燥とは何ですか？,予約機能の使い方をおしえて？,0.6501127780663848
洗濯だけする方法を教えて？,ジェット乾燥とは何ですか？,0.649972008598878
自動投入機能の使い方を教えて？,ふんわりキープとは何ですか？,0.6493754885669138
手動で個別に設定する事は可能ですか？,乾燥だけで使用出来ますか？,0.6492095224121407
乾燥だけで使用出来ますか？,チャイルドロックの設定をしたい,0.6489827568428894
異音がします。どうしたらよいですか？,「水が出ない」エラーが出ます,0.6484919711173625
靴は洗えますか？,最大容量は？,0.6476834804017093
ジェット乾燥とは何ですか？,洗濯ネットは必要ですか？,0.6471406034043883
ドアが開かないのですが,靴は洗えますか？,0.6464356217630443
靴は洗えますか？,水漏れしています。どうしたらよいですか？,0.6458375371283591
外出先から洗濯を開始できますか？,毛布は洗えますか？,0.6455058639165608
すすぎの設定を変更することは可能ですか？,予約機能の使い方をおしえて？,0.6451387498540306
自動投入機能の使い方を教えて？,洗濯ネットは必要ですか？,0.6451008022686548
ふんわりキープとは何ですか？,外出先から洗濯を開始できますか？,0.6449583718231333
乾燥だけで使用出来ますか？,ジェット乾燥とは何ですか？,0.6448062493980737
靴は洗えますか？,予約機能の使い方をおしえて？,0.6441347819038635
深夜に運転しても大丈夫？,予約機能の使い方をおしえて？,0.64399907478163
乾燥だけで使用出来ますか？,一時停止中にドアは開きますか？,0.6439227810649835
スチーム機能の使い方を教えて？,お急ぎコースはありますか？,0.643417382834325
洗剤の種類によって設定は変わりますか？,おすすめの洗剤・柔軟剤はありますか？,0.6430296217936304
ドアが完全に閉まりません,ドラムが動きません,0.6408604615708654
おすすめのコースを教えて？,「排水できない」エラーが出ます,0.6405086507508437
一時停止中にドアは開きますか？,「水が出ない」エラーが出ます,0.6385675300148701
スチーム機能の使い方を教えて？,ドラムが動きません,0.6377890846156771
脱水時間の変更は可能ですか？,一時停止中にドアは開きますか？,0.6374049280391507
異音がします。どうしたらよいですか？,おしゃれ着コースはありますか？,0.6361554849528537
外出先から洗濯を開始できますか？,おすすめの洗剤・柔軟剤はありますか？,0.6352615443811275
洗剤の種類によって設定は変わりますか？,靴は洗えますか？,0.6351902563535647
ふんわりキープとは何ですか？,洗濯ネットは必要ですか？,0.6349861749898777
異音がします。どうしたらよいですか？,「排水できない」エラーが出ます,0.6349398438547621
ジェット乾燥とは何ですか？,ドアが開かないのですが,0.6345201134026713
洗濯だけする方法を教えて？,外出先から洗濯を開始できますか？,0.6335490941913438
ドアが開かないのですが,洗濯時間は何分ですか？,0.6325083952342587
脱水時間の変更は可能ですか？,洗濯時間は何分ですか？,0.6324492552369001
羽毛布団は洗えますか？,予約機能の使い方をおしえて？,0.6322327812717903
靴は洗えますか？,ドラムが動きません,0.6317321193622132
コースが表示されないのですが,水漏れしています。どうしたらよいですか？,0.631590874253309
脱水時間の変更は可能ですか？,異音がします。どうしたらよいですか？,0.6314157579881396
「洗い」だけ行いたいのですが,脱水時間の変更は可能ですか？,0.6310514758780131
おすすめのコースを教えて？,洗濯だけする方法を教えて？,0.6309554390691486
ふんわりキープとは何ですか？,すすぎの設定を変更することは可能ですか？,0.630897808167726
乾燥だけで使用出来ますか？,水漏れしています。どうしたらよいですか？,0.630434154467347
おすすめのコースを教えて？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.6303531979690871
外出先から洗濯を開始できますか？,ドラムが動きません,0.6303502147010693
脱水時間の変更は可能ですか？,本体がぐらつきます。どうしたら良いですか？,0.6302984736138426
洗濯だけする方法を教えて？,洗濯ネットは必要ですか？,0.6299981397608188
外出先から洗濯を開始できますか？,おしゃれ着コースはありますか？,0.6293252536471851
ナノイーXとは何ですか？,洗剤の種類によって設定は変わりますか？,0.6286768605233095
深夜に運転しても大丈夫？,コースが表示されないのですが,0.6285421054887226
洗濯をスタートする方法を教えて？,靴は洗えますか？,0.6284499545905731
異音がします。どうしたらよいですか？,靴は洗えますか？,0.6283091116331572
自動投入機能の使い方を教えて？,外出先から洗濯を開始できますか？,0.6281921971010871
乾燥だけで使用出来ますか？,ドラムが動きません,0.6281362404451545
運転終了時にアラームを鳴らさないようにできますか？,ドラムが動きません,0.6278136787781885
スチーム機能の使い方を教えて？,ジェット乾燥とは何ですか？,0.6275100051540143
おすすめのコースを教えて？,運転終了時にアラームを鳴らさないようにできますか？,0.6274804053303813
一時停止中にドアは開きますか？,「排水できない」エラーが出ます,0.6272062517624064
お急ぎコースはありますか？,靴は洗えますか？,0.6269252841782317
自動投入機能の使い方を教えて？,羽毛布団は洗えますか？,0.6261267706071474
チャイルドロックの設定をしたい,2度洗いは出来ますか？,0.6258377719457382
洗濯だけする方法を教えて？,お急ぎコースはありますか？,0.6258244958220562
乾燥だけで使用出来ますか？,本体がぐらつきます。どうしたら良いですか？,0.6248524141556117
ジェット乾燥とは何ですか？,一時停止中にドアは開きますか？,0.6245188203057104
靴は洗えますか？,ドアが完全に閉まりません,0.6244336077028473
毛布は洗えますか？,異音がします。どうしたらよいですか？,0.6242882112251165
ナノイーXとは何ですか？,靴は洗えますか？,0.6242387993535519
手動で個別に設定する事は可能ですか？,洗剤を手動で投入できますか？,0.6238205220304145
深夜に運転しても大丈夫？,お急ぎコースはありますか？,0.623742877158086
一時停止中にドアは開きますか？,洗剤の種類によって設定は変わりますか？,0.6236930285851929
スチーム機能の使い方を教えて？,予約機能の使い方をおしえて？,0.6235725438344755
洗剤を手動で投入できますか？,毛布は洗えますか？,0.6234259387407182
深夜に運転しても大丈夫？,洗剤の種類によって設定は変わりますか？,0.623312935309545
外出先から洗濯を開始できますか？,洗濯ネットは必要ですか？,0.6230951129100575
ジェット乾燥とは何ですか？,外出先から洗濯を開始できますか？,0.6230002078862464
ドアが完全に閉まりません,コースが表示されないのですが,0.622976688245866
おすすめのコースを教えて？,本体がぐらつきます。どうしたら良いですか？,0.62236091960663
スチーム機能の使い方を教えて？,外出先から洗濯を開始できますか？,0.6223023695763118
洗濯をスタートする方法を教えて？,羽毛布団は洗えますか？,0.6221590676519666
スチーム機能の使い方を教えて？,毛布は洗えますか？,0.6220428587794194
ドアが開かないのですが,おすすめの洗剤・柔軟剤はありますか？,0.6219930330823389
羽毛布団は洗えますか？,本体が熱くなります,0.6216417413640998
おすすめのコースを教えて？,すすぎの設定を変更することは可能ですか？,0.6212280505369725
異音がします。どうしたらよいですか？,最大容量は？,0.6211813202799475
自動投入機能の使い方を教えて？,スチーム機能の使い方を教えて？,0.6202862971099548
スチーム機能の使い方を教えて？,靴は洗えますか？,0.6201699977473554
洗剤を手動で投入できますか？,外出先から洗濯を開始できますか？,0.6191076392180324
乾燥だけで使用出来ますか？,おすすめの洗剤・柔軟剤はありますか？,0.6191054043866617
洗濯物が絡まります。どうしたらよいですか？,おしゃれ着コースはありますか？,0.6189224591720194
おすすめのコースを教えて？,おしゃれ着コースはありますか？,0.6187223141513888
チャイルドロックの設定をしたい,コースが表示されないのですが,0.6184968506792259
2度洗いは出来ますか？,外出先から洗濯を開始できますか？,0.6183105708037917
ジェット乾燥とは何ですか？,お急ぎコースはありますか？,0.6180850038443785
洗濯をスタートする方法を教えて？,コースが表示されないのですが,0.6171454412442223
洗濯物が絡まります。どうしたらよいですか？,ドアが完全に閉まりません,0.6169336414951612
洗濯物に白い粉が残っています。　どうしたらよいですか？,靴は洗えますか？,0.6167901760531749
手動で個別に設定する事は可能ですか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.6167273125699921
洗濯物が絡まります。どうしたらよいですか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.6163739880924586
すすぎの設定を変更することは可能ですか？,おすすめの洗剤・柔軟剤はありますか？,0.6162048704119468
洗濯だけする方法を教えて？,ドラムが動きません,0.6159801110727977
ジェット乾燥とは何ですか？,おしゃれ着コースはありますか？,0.6157792228466313
乾燥だけで使用出来ますか？,スチーム機能の使い方を教えて？,0.6156074062278505
洗濯をスタートする方法を教えて？,自動投入機能の使い方を教えて？,0.6152654183592126
おすすめのコースを教えて？,毛布は洗えますか？,0.6152623873042808
外出先から洗濯を開始できますか？,洗剤の種類によって設定は変わりますか？,0.6144233138859071
ふんわりキープとは何ですか？,本体がぐらつきます。どうしたら良いですか？,0.6143995661358921
おすすめのコースを教えて？,水漏れしています。どうしたらよいですか？,0.6143365534173697
運転終了時にアラームを鳴らさないようにできますか？,コースが表示されないのですが,0.6142408467491383
乾燥だけで使用出来ますか？,異音がします。どうしたらよいですか？,0.6134017914665553
本体がぐらつきます。どうしたら良いですか？,コースが表示されないのですが,0.6131783138728855
すすぎの設定を変更することは可能ですか？,羽毛布団は洗えますか？,0.6126584587206945
洗濯をスタートする方法を教えて？,予約機能の使い方をおしえて？,0.6124476034264628
お急ぎコースはありますか？,予約機能の使い方をおしえて？,0.6122953681973617
洗濯をスタートする方法を教えて？,外出先から洗濯を開始できますか？,0.6122094599130304
ドアが開かないのですが,外出先から洗濯を開始できますか？,0.6119478256404403
すすぎの設定を変更することは可能ですか？,毛布は洗えますか？,0.6113403232686607
洗濯だけする方法を教えて？,チャイルドロックの設定をしたい,0.6112073325090605
羽毛布団は洗えますか？,異音がします。どうしたらよいですか？,0.6111719460540547
深夜に運転しても大丈夫？,ドアが完全に閉まりません,0.6111377744148994
おしゃれ着コースはありますか？,ドラムが動きません,0.6110551186698294
おすすめのコースを教えて？,手動で個別に設定する事は可能ですか？,0.6110479006427236
自動投入機能の使い方を教えて？,ドラムが動きません,0.6103189066204018
おしゃれ着コースはありますか？,おすすめの洗剤・柔軟剤はありますか？,0.6099429046237019
ナノイーXとは何ですか？,コースが表示されないのですが,0.6093577860691701
ジェット乾燥とは何ですか？,洗剤の種類によって設定は変わりますか？,0.6093184573811352
毛布は洗えますか？,深夜に運転しても大丈夫？,0.6091917887194676
すすぎの設定を変更することは可能ですか？,外出先から洗濯を開始できますか？,0.6087258738321102
省エネモードはありますか？,「排水できない」エラーが出ます,0.6083268044753058
羽毛布団は洗えますか？,洗濯物が絡まります。どうしたらよいですか？,0.6082667983731433
外出先から洗濯を開始できますか？,靴は洗えますか？,0.6082026740671521
洗濯だけする方法を教えて？,2度洗いは出来ますか？,0.608006666409119
洗濯物が絡まります。どうしたらよいですか？,本体がぐらつきます。どうしたら良いですか？,0.6078799014073699
羽毛布団は洗えますか？,水漏れしています。どうしたらよいですか？,0.607704625496823
羽毛布団は洗えますか？,ドアが完全に閉まりません,0.6075296946387403
洗濯物が絡まります。どうしたらよいですか？,靴は洗えますか？,0.6072922701724128
チャイルドロックの設定をしたい,洗剤の種類によって設定は変わりますか？,0.6067540435955018
おすすめのコースを教えて？,異音がします。どうしたらよいですか？,0.6066001893932753
ふんわりキープとは何ですか？,深夜に運転しても大丈夫？,0.6065037425111436
洗濯だけする方法を教えて？,最大容量は？,0.6064796436856799
外出先から洗濯を開始できますか？,本体がぐらつきます。どうしたら良いですか？,0.6061336098843308
洗剤の種類によって設定は変わりますか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.6060462154351257
ふんわりキープとは何ですか？,異音がします。どうしたらよいですか？,0.6057549630054648
ふんわりキープとは何ですか？,一時停止中にドアは開きますか？,0.6057418975286553
運転終了時にアラームを鳴らさないようにできますか？,靴は洗えますか？,0.6054310434914497
手動で個別に設定する事は可能ですか？,水漏れしています。どうしたらよいですか？,0.6051326384637739
洗濯だけする方法を教えて？,異音がします。どうしたらよいですか？,0.604861472460693
手動で個別に設定する事は可能ですか？,「洗い」だけ行いたいのですが,0.6048448385066323
すすぎの設定を変更することは可能ですか？,コースが表示されないのですが,0.6047492489309831
外出先から洗濯を開始できますか？,羽毛布団は洗えますか？,0.6046205667932101
ジェット乾燥とは何ですか？,深夜に運転しても大丈夫？,0.6045856323025208
おしゃれ着コースはありますか？,最大容量は？,0.6039309030304043
洗濯をスタートする方法を教えて？,おしゃれ着コースはありますか？,0.6033778209450517
ナノイーXとは何ですか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.6031115572824298
ドアが開かないのですが,洗剤の種類によって設定は変わりますか？,0.6027623848558137
設定の初期化はできますか？,おすすめの洗剤・柔軟剤はありますか？,0.602721602965208
洗濯物が絡まります。どうしたらよいですか？,洗濯時間は何分ですか？,0.6022765622116288
ナノイーXとは何ですか？,深夜に運転しても大丈夫？,0.6022268410206713
予約機能の使い方をおしえて？,おすすめの洗剤・柔軟剤はありますか？,0.6019587116106582
一時停止中にドアは開きますか？,靴は洗えますか？,0.6016780844784846
洗濯物が絡まります。どうしたらよいですか？,おすすめの洗剤・柔軟剤はありますか？,0.601677477220926
ナノイーXとは何ですか？,ジェット乾燥とは何ですか？,0.6016517035574315
チャイルドロックの設定をしたい,ナノイーXとは何ですか？,0.6015572527968074
異音がします。どうしたらよいですか？,予約機能の使い方をおしえて？,0.6011663124885392
脱水時間の変更は可能ですか？,「水が出ない」エラーが出ます,0.6010636294112391
ドアが完全に閉まりません,本体が熱くなります,0.6009322442163061
異音がします。どうしたらよいですか？,洗濯時間は何分ですか？,0.6005675245814137
スチーム機能の使い方を教えて？,運転終了時にアラームを鳴らさないようにできますか？,0.600136492636645
ふんわりキープとは何ですか？,洗濯時間は何分ですか？,0.5998056706409796
すすぎの設定を変更することは可能ですか？,運転終了時にアラームを鳴らさないようにできますか？,0.5995828736767176
洗濯をスタートする方法を教えて？,おすすめのコースを教えて？,0.5988548997282266
洗濯だけする方法を教えて？,洗濯時間は何分ですか？,0.5983703032888121
ふんわりキープとは何ですか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.5981686474171988
洗濯だけする方法を教えて？,ドアが開かないのですが,0.5977665172434112
ドラムが動きません,本体が熱くなります,0.5972511008847701
コースが表示されないのですが,洗濯時間は何分ですか？,0.5968134252069273
2度洗いは出来ますか？,毛布は洗えますか？,0.5966123788653073
洗濯物に白い粉が残っています。　どうしたらよいですか？,コースが表示されないのですが,0.5964812476054016
自動投入機能の使い方を教えて？,ジェット乾燥とは何ですか？,0.5964147110134475
洗濯ネットは必要ですか？,予約機能の使い方をおしえて？,0.5962747926574321
おすすめのコースを教えて？,「洗い」だけ行いたいのですが,0.596174603241731
おしゃれ着コースはありますか？,洗剤の種類によって設定は変わりますか？,0.5960739939538707
洗濯をスタートする方法を教えて？,乾燥だけで使用出来ますか？,0.5959678808673811
洗濯の途中で一時停止できますか？,一時停止中にドアは開きますか？,0.5958751260668456
洗濯ネットは必要ですか？,洗剤の種類によって設定は変わりますか？,0.5958503970993787
乾燥だけで使用出来ますか？,「洗い」だけ行いたいのですが,0.5958454392937149
ドアが開かないのですが,本体が熱くなります,0.5948979760049198
スチーム機能の使い方を教えて？,2度洗いは出来ますか？,0.59486285097966
ドアが開かないのですが,本体がぐらつきます。どうしたら良いですか？,0.5947952850659148
水漏れしています。どうしたらよいですか？,ドラムが動きません,0.5946985291313589
ふんわりキープとは何ですか？,最大容量は？,0.5946356791428805
おすすめのコースを教えて？,予約機能の使い方をおしえて？,0.5944063073052419
手動で個別に設定する事は可能ですか？,ふんわりキープとは何ですか？,0.5942015215379198
乾燥だけで使用出来ますか？,洗濯物が絡まります。どうしたらよいですか？,0.5941832451537097
洗濯時間は何分ですか？,水漏れしています。どうしたらよいですか？,0.5940586266066334
スチーム機能の使い方を教えて？,おしゃれ着コースはありますか？,0.5940307310864436
洗濯ネットは必要ですか？,水漏れしています。どうしたらよいですか？,0.5939987194775598
乾燥だけで使用出来ますか？,最大容量は？,0.5939970124755956
洗剤の種類によって設定は変わりますか？,ドアが完全に閉まりません,0.5938020619671994
「洗い」だけ行いたいのですが,予約機能の使い方をおしえて？,0.5932314698789274
一時停止中にドアは開きますか？,羽毛布団は洗えますか？,0.5931577837439175
洗濯をスタートする方法を教えて？,洗濯ネットは必要ですか？,0.592696799137982
羽毛布団は洗えますか？,洗濯物に白い粉が残っています。　どうしたらよいですか？,0.5924513961677453
運転終了時にアラームを鳴らさないようにできますか？,外出先から洗濯を開始できますか？,0.5922191052381325
予約機能の使い方をおしえて？,ドラムが動きません,0.5920653490074409
スチーム機能の使い方を教えて？,羽毛布団は洗えますか？,0.591949013894824
ドアが開かないのですが,異音がします。どうしたらよいですか？,0.5919247794297992
異音がします。どうしたらよいですか？,コースが表示されないのですが,0.5918676367471756
ナノイーXとは何ですか？,異音がします。どうしたらよいですか？,0.5917189988953189
自動投入機能の使い方を教えて？,一時停止中にドアは開きますか？,0.5915152203366951
洗濯ネットは必要ですか？,コースが表示されないのですが,0.5914642180703334
予約機能の使い方をおしえて？,最大容量は？,0.5912984409588458
「洗い」だけ行いたいのですが,洗剤の種類によって設定は変わりますか？,0.5909152369875241
脱水時間の変更は可能ですか？,洗剤の種類によって設定は変わりますか？,0.5906557974634647
手動で個別に設定する事は可能ですか？,お急ぎコースはありますか？,0.5905841358588504
乾燥だけで使用出来ますか？,脱水時間の変更は可能ですか？,0.5904082445425041
ドアが開かないのですが,水漏れしています。どうしたらよいですか？,0.5901016631405609
2度洗いは出来ますか？,洗剤の種類によって設定は変わりますか？,0.5900745986939284
おしゃれ着コースはありますか？,水漏れしています。どうしたらよいですか？,0.5898177823389948
外出先から洗濯を開始できますか？,一時停止中にドアは開きますか？,0.5897327682932458
洗濯だけする方法を教えて？,運転終了時にアラームを鳴らさないようにできますか？,0.589596643066984
スチーム機能の使い方を教えて？,洗剤の種類によって設定は変わりますか？,0.5895447740389859
